renderer,variant,template,asset_mode,scenario,phase,measured,attempt,concurrency,cold_label,duration_seconds,attempted,successful,failures,timeouts,p50_ms,p95_ms,p99_ms,mean_ms,stddev_ms,cv_pct,peak_in_flight,average_in_flight,worker_utilization_pct,mean_pdf_bytes,attempted_throughput,successful_throughput,application_peak_rss_bytes,application_cpu_utilization_pct,render_service_peak_memory_bytes,render_service_cpu_utilization_pct,observed_cpu_utilization_pct,render_service_peak_active_requests,render_service_peak_queue_size,declared_concurrency_limit,over_declared_concurrency
dompdf,default,local-assets,documented-remediation,representative,fidelity,false,1,1,"fresh worker",0.111074,1,1,0,0,105.934,105.934,105.934,105.934,,,1,0.9537245439977,95.37245439977,7006,9.0030070043394,9.0030070043394,78598144,27.009021013018,,,27.009021013018,,,,
dompdf,default,local-assets,native-path,representative,fidelity,false,1,1,"fresh worker",0.377351,1,1,0,0,97.308,97.308,97.308,97.308,,,1,0.25787131874568,25.787131874568,7092,2.6500526035442,2.6500526035442,78819328,23.850473431898,,,23.850473431898,,,,
dompdf,default,long-report,portable,representative,fidelity,false,1,1,"fresh worker",0.444607,1,1,0,0,442.472,442.472,442.472,442.472,,,1,0.99519800632919,99.519800632919,44450,2.2491773633793,2.2491773633793,104312832,25.303245338018,,,25.303245338018,,,,
dompdf,default,modern-invoice,portable,representative,fidelity,false,1,1,"fresh worker",0.148642,1,1,0,0,146.318,146.318,146.318,146.318,,,1,0.98436511887623,98.436511887623,25263,6.7275736332934,6.7275736332934,87465984,20.18272089988,,,20.18272089988,,,,
dompdf,default,simple-invoice,portable,representative,fidelity,false,1,1,"fresh worker",0.187591,1,1,0,0,187.066,187.066,187.066,187.066,,,1,0.99720135827412,99.720135827412,28491,5.3307461445379,5.3307461445379,96894976,21.322984578151,,,21.322984578151,,,,
gotenberg,default,javascript-chart,portable,representative,fidelity,false,1,1,"first request after controlled container restart",0.455859,1,1,0,0,451.765,451.765,451.765,451.765,,,1,0.99101915285209,99.101915285209,60580,2.1936607591382,2.1936607591382,76660736,2.7420759489228,770748416,11.638467157608,14.380543106531,1,1,,
gotenberg,default,local-assets,documented-remediation,representative,fidelity,false,1,1,"first request after controlled container restart",0.176263,1,1,0,0,174.783,174.783,174.783,174.783,,,1,0.99160345619898,99.160345619898,59918,5.6733404060977,5.6733404060977,76476416,9.928345710671,761114624,27.944605504275,37.872951214946,1,1,,
gotenberg,default,local-assets,native-path,representative,fidelity,false,1,1,"first request after controlled container restart",0.392611,1,1,0,0,138.737,138.737,138.737,138.737,,,1,0.35337012972128,35.337012972128,27046,2.5470503882978,2.5470503882978,78585856,24.196978688829,731328512,12.206420604619,36.403399293449,0,0,,
gotenberg,default,long-report,portable,representative,fidelity,false,1,1,"first request after controlled container restart",0.18657,1,1,0,0,185.341,185.341,185.341,185.341,,,1,0.99341266012757,99.341266012757,104174,5.3599185292384,5.3599185292384,78426112,10.719837058477,782684160,19.151390898858,29.871227957335,1,1,,
gotenberg,default,modern-invoice,portable,representative,fidelity,false,1,1,"first request after controlled container restart",0.193678,1,1,0,0,190.451,190.451,190.451,190.451,,,1,0.9833383244354,98.33383244354,146708,5.1632090376811,5.1632090376811,78622720,7.7448135565216,777555968,23.056568118219,30.801381674741,1,1,,
gotenberg,default,simple-invoice,portable,representative,fidelity,false,1,1,"first request after controlled container restart",0.186125,1,1,0,0,182.18,182.18,182.18,182.18,,,1,0.97880456682337,97.880456682337,31379,5.3727333781061,5.3727333781061,78647296,5.3727333781061,788942848,23.95083948959,29.323572867696,1,1,,
